PlayerID,Season,Year,Name,Nickname,Team,PrimaryPosition,SecondaryPosition,Bats,Throws,Age,Height,Weight,OVR,Potential,ContactL,ContactR,PowerL,PowerR,Vision,Discipline,PlateVision,PlatePatience,Bunting,DragBunting,Durability,ClutchHitting,Speed,Stealing,BRAggression,Fielding,Reaction,ArmStrength,ArmAccuracy,Blocking,Framing,PitchCalling,Composure,Stamina,HPer9,KPer9,BBPer9,HRPer9,Velocity,Control,Break,ClutchPitching,PitchingComposure,Pitch1Type,Pitch1MPH,Pitch1Velo,Pitch1Ctrl,Pitch1Break,Pitch2Type,Pitch2MPH,Pitch2Velo,Pitch2Ctrl,Pitch2Break,Pitch3Type,Pitch3MPH,Pitch3Velo,Pitch3Ctrl,Pitch3Break,Pitch4Type,Pitch4MPH,Pitch4Velo,Pitch4Ctrl,Pitch4Break,PullPct,CenterPct,OppoPct,GBPct,LDPct,FBPct,SwingPct,InsidePct,OutsidePct,StrikePct,FirstPitchStrikePct,HotZone,ColdZone,BattingStance,Quirks,Flaw,NotableTrait,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,W,L,ERA,WHIP,P_GP,GS,IP,H_Allowed,ER,K_Pitched,BB_Allowed,HR_Allowed,SV,HLD,BS,CG,SHO,PO,A,E,FPCT,DP,Awards
P001,2,2027,Cyris Sullivan,Cream Machine,Bombers,SS,2B,R,R,21,5'7,145,90,92,99,91,27,38,99,94,99,94,94,94,76,99,66,70,85,90,97,74,86,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,45,25,55,35,10,38,,,,,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,101,422,358,55,126,31,1,5,30,58,46,25,9,0.352,0.449,0.486,0.935,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,270,7,0.982,19,
P002,2,2027,Shea Harrison,,Bombers,DH,1B,L,R,22,5'9,215,82,84,62,50,64,99,57,49,57,40,25,20,90,93,22,21,31,56,56,78,56,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,20,5,25,25,50,72,,,,,Middle In Belt-High,Outside/High Heat,Open Wide w/ Leg Kick,"Crowd Pleaser,Dead Red,Bomber,Free Swinger",Empty Stadium Slump,Only tries when watched,159,641,602,75,149,12,1,37,77,32,129,8,3,0.249,0.292,0.455,0.747,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,24,Silver Slugger DH
P003,2,2027,Jaedan,Master Gooner,Bombers,RF,,R,R,21,6'2,155,80,80,64,70,64,74,72,57,72,55,38,37,59,37,48,46,80,70,65,88,72,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,30,20,30,35,35,60,,,,,Middle/Middle-Up,Low Away,Tall Upright,"Outlier (arm),Showboat,Glamour Stats",One and Done,Bat flips guaranteed,86,338,341,39,75,15,4,9,28,24,63,11,2,0.249,0.301,0.403,0.704,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,11,4,0.978,7,
P004,2,2027,Gui,Acid Chair,Bombers,C,3B,R,R,22,5'10,195,89,88,73,79,48,60,89,86,89,88,63,37,79,72,53,33,46,87,83,81,86,85,94,96,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,40,25,35,45,20,35,,,,,Low Away/Low Middle,High Inside FB,Balanced Square,"Pitch Whisperer,Defensive Wizard,Hot Head,Selective Hitter",Anime distractions/3x ejection rate,Knows too much about anime,0,136,520,465,53,135,24,1,14,43,50,53,11,5,0.29,0.364,0.437,0.801,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313,99,2,0.999,17,
P005,2,2027,Carlos,Kevin G,Bombers,1B,DH,R,R,21,6'3,230,79,81,37,48,99,96,43,38,43,30,21,15,83,65,20,14,17,52,46,84,61,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,25,10,20,25,55,78,,,,,Middle-Middle,Any Corner,Wide Closed No Stride,"Mistake Hitter,Bomber,Stubborn,Hot Head,First Pitch Hitter",Brainrot Focus / 30% first pitch swing,Only good at brainrot Roblox,124,532,503,56,92,14,3,26,69,23,124,4,1,0.183,0.227,0.378,0.605,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,171,8,0.972,13,
P006,2,2027,Marcus,Marquis,Bombers,CF,RF,R,R,22,5'11,175,89,90,63,74,60,73,81,80,81,75,61,66,82,97,70,61,51,81,74,81,80,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,20,40,40,20,50,,,,,Middle-Middle,Familiar Pitchers,Textbook Square,"Cool Customer,Quick Learner,Late Bloomer,Clutch Hitter",Refuses scouting reports,Calm lazy genius,141,592,528,69,125,25,0,21,67,58,73,13,3,0.237,0.314,0.403,0.717,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,8,2,0.992,17,
P007,2,2027,Ian,,Bombers,SP,,R,R,21,5'10,165,92,92,65,65,68,68,72,68,70,65,40,30,83,72,78,70,75,60,68,70,68,,,,55,76,84,88,66,78,99,70,92,63,55,4-Seam Fastball,97,99,75,60,Slider,88,88,78,92,Changeup,84,80,70,88,Curveball,80,75,65,90,50,30,20,35,35,30,65,55,45,62,70,Middle-Middle,Up and In,Cross-Fire Delivery,"Outlier (velo),Fireballer,Hot Head,Five Tool,Workhorse",Compete Mode Tilt - 1ER drops 12pts,Weirdly good at random things,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,11,10,3.27,1.22,0,34,184.2,162,67,200,62,19,0,0,0,1,1,8,14,1,1,0,All-Star
P008,2,2027,Griffin,,Bombers,LF,1B,R,R,22,6'1,185,85,86,69,88,70,87,93,51,93,50,40,31,74,66,53,35,29,45,50,76,55,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,30,15,25,35,40,65,,,,,Any Fastball,Any Breaking Ball,Slight Crouch Still,"Outlier (vision),Bomber,One Trick Pony,Lazy,Fastball Hunter",Osu Brain - locks only on FB,Only plays osu,135,579,530,67,135,32,2,29,74,46,69,2,2,0.255,0.318,0.487,0.805,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,8,12,0.958,13,
P009,2,2027,Caden,Tweaker,Bombers,RP,,R,R,21,5'11,170,87,83,55,60,45,50,60,50,55,45,30,25,68,65,80,60,90,55,55,75,55,,,,80,35,84,93,67,84,88,82,99,95,80,Sinker,91,82,70,78,Splitter,86,78,65,94,Cutter,88,80,75,85,,,,,,,,,,,,40,60,58,65,Mystery,Mystery,Funky Low 3/4,"Ghost,Sprinter,Pressure Cooker,Mystery Man",Disappears 4 games at a time,Nobody knows anything,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,7,10,3.78,1.28,0,0,116.2,115,49,147,45,12,0,9,9,0,0,3,4,0,1,,
P010,2,2027,Ronin,,Bombers,LF,,L,R,21,5'8,170,78,85,36,62,58,82,65,29,65,20,55,71,76,33,84,77,94,68,65,79,63,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,25,5,30,30,40,82,,,,,Middle-In,Off Plate,Aggressive Open Big Stride,"Speedster,Bomber,Hot Head,Free Swinger,Rally Killer",Reasonless Rage / 25% ejection,Gets really mad no reasoning,130,459,438,59,91,16,4,14,44,14,73,17,7,0.208,0.237,0.358,0.595,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,256,10,0.978,25,
