PlayerID,Season,Year,Name,Nickname,Team,PrimaryPosition,SecondaryPosition,Bats,Throws,Age,Height,Weight,OVR,Potential,ContactL,ContactR,PowerL,PowerR,Vision,Discipline,PlateVision,PlatePatience,Bunting,DragBunting,Durability,ClutchHitting,Speed,Stealing,BRAggression,Fielding,Reaction,ArmStrength,ArmAccuracy,Composure,PullPct,CenterPct,OppoPct,GBPct,LDPct,FBPct,SwingPct,HotZone,ColdZone,BattingStance,Quirks,Flaw,NotableTrait,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,W,L,ERA,WHIP,P_GP,GS,IP,H_Allowed,ER,K_Pitched,BB_Allowed,HR_Allowed,SV,HLD,BS,CG,SHO,PO,A,E,FPCT,DP,Awards,MLBRecord,SeasonNote,TeamWL,TeamRecord,Pitch1Type,Pitch1MPH,Pitch1Velo,Pitch1Ctrl,Pitch1Break,Pitch2Type,Pitch2MPH,Pitch2Velo,Pitch2Ctrl,Pitch2Break,Pitch3Type,Pitch3MPH,Pitch3Velo,Pitch3Ctrl,Pitch3Break,Pitch4Type,Pitch4MPH,Pitch4Velo,Pitch4Ctrl,Pitch4Break,TeamRecordBroken
P001,1,2026,Cyris Sullivan,Cream Machine,Red Sox,2B,SS,R,R,21,5'7,145,71,92,88,94,22,18,91,88,93,85,90,88,70,99,65,70,75,84,92,68,80,96,30.0,45.0,25.0,55.0,35.0,10.0,38.0,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,135,566,499,53,144,28,1.0,3,36,61,63,41,9,0.289,0.371,0.367,0.738,3.3,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,163,329,19.0,0.98,23.0,Led in Stolen Bases,,Rookie debut as starting SS; led team with 41 stolen bases.,75-87,Rebuilding year — finished 4th in AL East,,,,,,,,,,,,,,,,,,,,,
P001,2,2027,Cyris Sullivan,Cream Machine,Red Sox,2B,SS,R,R,21,5'7,145,90,92,99,91,27,38,99,94,99,94,94,94,76,99,66,70,85,90,97,74,86,96,30.0,45.0,25.0,55.0,35.0,10.0,38.0,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,101,422,358,55,126,31,1.0,5,30,58,46,25,9,0.352,0.449,0.486,0.935,5.1,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,111,270,7.0,0.982,19.0,,,Breakout sophomore year — hit .352 in only 101 games.,84-78,First winning season since 2023; missed Wild Card,,,,,,,,,,,,,,,,,,,,,
P001,3,2028,Cyris Sullivan,Cream Machine,Red Sox,2B,SS,R,R,21,5'7,145,92,92,99,93,31,47,99,94,99,94,94,95,76,98,66,70,85,92,98,75,88,96,30.0,45.0,25.0,55.0,35.0,10.0,38.0,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,138,594,515,87,168,36,1.0,10,53,69,56,16,5,0.326,0.411,0.458,0.869,6.1,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,157,341,7.0,0.986,19.0,Batting Title;Led in Hits,,Won Batting Title and led league in hits; franchise cornerstone.,92-70,AL East Division Title; lost in ALDS,,,,,,,,,,,,,,,,,,,,,
P001,4,2029,Cyris Sullivan,Cream Machine,Red Sox,2B,SS,R,R,21,5'7,145,92,92,99,93,31,47,99,94,99,94,94,95,76,98,66,70,85,92,98,75,88,96,30.0,45.0,25.0,55.0,35.0,10.0,38.0,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,130,552,466,57,138,36,1.0,5,48,77,73,22,5,0.296,0.401,0.41,0.811,5.5,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,150,345,5.0,0.99,14.0,Playoff MVP;World Series;Led in Batting Average,,Playoff MVP run powered the first World Series title.,98-64,AL Pennant; WORLD SERIES CHAMPIONS (1st),,,,,,,,,,,,,,,,,,,,,
P001,5,2030,Cyris Sullivan,Cream Machine,Red Sox,SS,2B,R,R,25,5'7,145,92,92,99,93,31,47,99,94,99,94,94,95,76,98,66,70,85,92,98,75,88,96,30.0,45.0,25.0,55.0,35.0,10.0,38.0,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,145,618,542,83,167,35,2.1,9,55,76,61,22,7,0.309,0.394,0.428,0.822,6.0,0,0,0.0,0.0,0,140,0.0,0,0,0,0,0,0,0,0,0,0,156,358,9.0,0.984,22.0,All-Star;Gold Glove 2B;Silver Slugger 2B,,"First ring; locked in as everyday SS, Gold Glove + Silver Slugger combo.",95-67,AL East Title; lost in ALCS,,,,,,,,,,,,,,,,,,,,,
P001,6,2031,Cyris Sullivan,Cream Machine,Red Sox,SS,2B,R,R,26,5'7,145,92,92,99,93,31,47,99,94,99,94,94,95,76,98,66,70,85,92,98,75,88,96,30.0,45.0,25.0,55.0,35.0,10.0,38.0,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,142,610,532,85,165,36,1.0,11,59,78,63,24,7,0.311,0.399,0.443,0.843,6.1,0,0,0.0,0.0,0,139,0.0,0,0,0,0,0,0,0,0,0,0,156,353,6.0,0.988,23.0,All-Star;Gold Glove 2B;Batting Title,,"Second ring; led the league in hits, defensive anchor up the middle.",96-66,AL East Title; lost in ALDS,,,,,,,,,,,,,,,,,,,,,
P001,7,2032,Cyris Sullivan,Cream Machine,Red Sox,SS,2B,R,R,27,5'7,145,92,92,99,93,31,47,99,94,99,94,94,95,76,98,66,70,85,92,98,75,88,96,30.0,45.0,25.0,55.0,35.0,10.0,38.0,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,150,646,562,97,181,39,2.1,14,69,84,61,28,6,0.321,0.409,0.472,0.881,6.5,0,0,0.0,0.0,0,139,0.0,0,0,0,0,0,0,0,0,0,0,168,372,5.0,0.991,26.0,World Series;All-Star;Gold Glove 2B;Silver Slugger 2B,,Won the Batting Title at .342 — pure contact MVP candidate.,102-60,AL Pennant; WORLD SERIES CHAMPIONS (2nd); 100-win season,,,,,,,,,,,,,,,,,,,,,
P001,8,2033,Cyris Sullivan,Cream Machine,Red Sox,SS,2B,R,R,28,5'7,145,92,92,99,93,31,47,99,94,99,94,94,95,76,98,66,70,85,92,98,75,88,96,30.0,45.0,25.0,55.0,35.0,10.0,38.0,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,149,650,567,104,181,39,2.1,15,72,83,61,28,7,0.321,0.408,0.472,0.88,6.7,0,0,0.0,0.0,0,140,0.0,0,0,0,0,0,0,0,0,0,0,166,368,5.0,0.991,25.0,All-Star;Gold Glove 2B;Silver Slugger 2B,,"Career year: 7.2 WAR, MVP, 41 SB — middle-infield force.",104-58,Set franchise record for runs scored (912),,,,,,,,,,,,,,,,,,,,,
P001,9,2034,Cyris Sullivan,Cream Machine,Red Sox,SS,2B,R,R,29,5'7,145,92,92,99,93,31,47,99,94,99,94,94,95,76,98,66,70,85,92,98,75,88,96,30.0,45.0,25.0,55.0,35.0,10.0,38.0,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,149,653,566,109,186,40,3.0,16,76,86,59,30,6,0.329,0.418,0.496,0.915,7.0,0,0,0.0,0.0,0,140,0.0,0,0,0,0,0,0,0,0,0,0,170,368,4.0,0.993,26.0,MVP;All-Star;Gold Glove 2B;Silver Slugger 2B,,Third ring; second batting title — best pure hitter in the league.,108-54,Franchise record 108 wins; lost in ALCS,,,,,,,,,,,,,,,,,,,,,
P001,10,2035,Cyris Sullivan,Cream Machine,Red Sox,SS,2B,R,R,30,5'7,145,92,92,99,93,31,47,99,94,99,94,94,95,76,98,66,70,85,92,98,75,88,96,30.0,45.0,25.0,55.0,35.0,10.0,38.0,Low Away/Low Middle,High Inside,Crouched Open,"Bad Ball Hitter,Pressure Cooker,Table Setter,Contact Hitter",Tilt Mode after 2 Ks,Always clutch in ranked,146,644,557,113,204,43,2.9,17,81,86,60,32,6,0.366,0.451,0.547,0.997,8.1,0,0,0.0,0.0,0,139,0.0,0,0,0,0,0,0,0,0,0,0,165,357,3.0,0.995,27.0,World Series;MVP;All-Star;Gold Glove 2B;Silver Slugger 2B;Batting Title,MLB Single-Season Hits Record by a Second Baseman (212),"Fourth ring; 200-hit season, 9th straight All-Star nod.",111-51,AL Pennant; WORLD SERIES CHAMPIONS (3rd); franchise record 111 wins,,,,,,,,,,,,,,,,,,,,,
